config: 46 | lr: 0.001 | num_layers: 2 | nbs_units: 128 | batch_size: 128 | rsmse: 0.21191106736660004
config: 44 | lr: 0.001 | num_layers: 3 | nbs_units: 32 | batch_size: 64 | rsmse: 0.21194136142730713
config: 31 | lr: 0.001 | num_layers: 4 | nbs_units: 64 | batch_size: 128 | rsmse: 0.21200130879878998
config: 75 | lr: 0.0001 | num_layers: 2 | nbs_units: 128 | batch_size: 32 | rsmse: 0.21389520168304443
config: 27 | lr: 0.01 | num_layers: 2 | nbs_units: 32 | batch_size: 32 | rsmse: 0.2140071988105774
config: 34 | lr: 0.001 | num_layers: 4 | nbs_units: 32 | batch_size: 128 | rsmse: 0.21470196545124054
config: 12 | lr: 0.01 | num_layers: 3 | nbs_units: 128 | batch_size: 32 | rsmse: 0.21473748981952667
config: 20 | lr: 0.01 | num_layers: 2 | nbs_units: 128 | batch_size: 64 | rsmse: 0.21500378847122192
config: 35 | lr: 0.001 | num_layers: 4 | nbs_units: 32 | batch_size: 64 | rsmse: 0.21541939675807953
config: 15 | lr: 0.01 | num_layers: 3 | nbs_units: 64 | batch_size: 32 | rsmse: 0.21787554025650024
config: 17 | lr: 0.01 | num_layers: 3 | nbs_units: 32 | batch_size: 64 | rsmse: 0.21787554025650024
config: 5 | lr: 0.01 | num_layers: 4 | nbs_units: 64 | batch_size: 64 | rsmse: 0.21787554025650024
config: 21 | lr: 0.01 | num_layers: 2 | nbs_units: 128 | batch_size: 32 | rsmse: 0.21973516047000885
config: 23 | lr: 0.01 | num_layers: 2 | nbs_units: 64 | batch_size: 64 | rsmse: 0.22158844769001007
config: 62 | lr: 0.0001 | num_layers: 4 | nbs_units: 32 | batch_size: 64 | rsmse: 0.2261703759431839
config: 16 | lr: 0.01 | num_layers: 3 | nbs_units: 32 | batch_size: 128 | rsmse: 0.22809547185897827
config: 4 | lr: 0.01 | num_layers: 4 | nbs_units: 64 | batch_size: 128 | rsmse: 0.22809547185897827
config: 14 | lr: 0.01 | num_layers: 3 | nbs_units: 64 | batch_size: 64 | rsmse: 0.22809548676013947
config: 11 | lr: 0.01 | num_layers: 3 | nbs_units: 128 | batch_size: 64 | rsmse: 0.22809548676013947
config: 77 | lr: 0.0001 | num_layers: 2 | nbs_units: 64 | batch_size: 64 | rsmse: 0.2582554817199707
config: 6 | lr: 0.01 | num_layers: 4 | nbs_units: 64 | batch_size: 32 | rsmse: 0.2584908604621887
config: 22 | lr: 0.01 | num_layers: 2 | nbs_units: 64 | batch_size: 128 | rsmse: 0.268621563911438
config: 19 | lr: 0.01 | num_layers: 2 | nbs_units: 128 | batch_size: 128 | rsmse: 0.27279067039489746
config: 79 | lr: 0.0001 | num_layers: 2 | nbs_units: 32 | batch_size: 128 | rsmse: 0.30420535802841187
config: 25 | lr: 0.01 | num_layers: 2 | nbs_units: 32 | batch_size: 128 | rsmse: 0.49034470319747925
config: 8 | lr: 0.01 | num_layers: 4 | nbs_units: 32 | batch_size: 64 | rsmse: 0.6230717897415161
config: 7 | lr: 0.01 | num_layers: 4 | nbs_units: 32 | batch_size: 128 | rsmse: 0.6230717897415161
